1960.01,18.34
1960.02,17.55
1960.03,17.29
1960.04,17.43
1960.05,17.26
1960.06,17.82
1960.07,17.38
1960.08,17.58
1960.09,17.05
1960.1,16.61
1960.11,17.15
1960.12,17.56
1961.01,18.47
1961.02,19.23
1961.03,19.84
1961.04,20.38
1961.05,20.60
1961.06,20.33
1961.07,20.15
1961.08,20.94
1961.09,20.71
1961.1,20.92
1961.11,21.86
1961.12,22.04
1962.01,21.20
1962.02,21.45
1962.03,21.44
1962.04,20.66
1962.05,19.09
1962.06,16.83
1962.07,17.14
1962.08,17.57
1962.09,17.32
1962.1,16.74
1962.11,17.85
1962.12,18.59
1963.01,19.26
1963.02,19.47
1963.03,19.29
1963.04,20.15
1963.05,20.51
1963.06,20.38
1963.07,19.97
1963.08,20.47
1963.09,20.96
1963.1,20.89
1963.11,20.72
1963.12,21.04
1964.01,21.63
1964.02,21.83
1964.03,22.17
1964.04,22.42
1964.05,22.57
1964.06,22.30
1964.07,22.98
1964.08,22.65
1964.09,22.89
1964.1,23.21
1964.11,23.23
1964.12,22.75
1965.01,23.27
1965.02,23.37
1965.03,23.25
1965.04,23.42
1965.05,23.71
1965.06,22.39
1965.07,22.30
1965.08,22.67
1965.09,23.37
1965.1,23.78
1965.11,23.93
1965.12,23.69
1966.01,24.06
1966.02,23.70
1966.03,22.61
1966.04,23.11
1966.05,21.85
1966.06,21.56
1966.07,21.38
1966.08,19.91
1966.09,19.16
1966.1,18.83
1966.11,19.71
1966.12,19.74
1967.01,20.43
1967.02,21.07
1967.03,21.44
1967.04,21.69
1967.05,21.95
1967.06,21.55
1967.07,21.80
1967.08,22.03
1967.09,22.22
1967.1,22.07
1967.11,21.26
1967.12,21.75
1968.01,21.51
1968.02,20.42
1968.03,19.93
1968.04,21.28
1968.05,21.63
1968.06,22.00
1968.07,21.75
1968.08,21.14
1968.09,21.68
1968.1,22.00
1968.11,22.20
1968.12,22.28
1969.01,21.19
1969.02,20.90
1969.03,20.20
1969.04,20.43
1969.05,20.97
1969.06,19.71
1969.07,18.68
1969.08,18.43
1969.09,18.40
1969.1,18.45
1969.11,18.44
1969.12,17.33
1970.01,17.09
1970.02,16.37
1970.03,16.53
1970.04,15.87
1970.05,13.98
1970.06,13.80
1970.07,13.73
1970.08,14.10
1970.09,14.84
1970.1,15.06
1970.11,14.95
1970.12,15.87
1971.01,16.46
1971.02,17.03
1971.03,17.40
1971.04,17.92
1971.05,17.56
1971.06,17.08
1971.07,16.89
1971.08,16.52
1971.09,16.86
1971.1,16.43
1971.11,15.64
1971.12,16.60
1972.01,17.26
1972.02,17.46
1972.03,17.81
1972.04,17.92
1972.05,17.66
1972.06,17.64
1972.07,17.40
1972.08,17.94
1972.09,17.61
1972.1,17.53
1972.11,18.34
1972.12,18.65
1973.01,18.71
1973.02,17.89
1973.03,17.41
1973.04,16.94
1973.05,16.31
1973.06,15.81
1973.07,15.89
1973.08,15.28
1973.09,15.48
1973.1,15.91
1973.11,14.65
1973.12,13.49
1974.01,13.53
1974.02,12.96
1974.03,13.31
1974.04,12.55
1974.05,12.00
1974.06,11.89
1974.07,10.39
1974.08,9.82
1974.09,8.68
1974.1,8.74
1974.11,8.95
1974.12,8.29
1975.01,8.92
1975.02,9.76
1975.03,10.16
1975.04,10.23
1975.05,10.82
1975.06,11.01
1975.07,10.90
1975.08,10.09
1975.09,9.92
1975.1,10.33
1975.11,10.44
1975.12,10.25
1976.01,11.19
1976.02,11.59
1976.03,11.63
1976.04,11.69
1976.05,11.53
1976.06,11.54
1976.07,11.76
1976.08,11.60
1976.09,11.81
1976.1,11.35
1976.11,11.25
1976.12,11.60
1977.01,11.44
1977.02,11.01
1977.03,10.90
1977.04,10.64
1977.05,10.55
1977.06,10.53
1977.07,10.57
1977.08,10.27
1977.09,10.07
1977.1,9.77
1977.11,9.77
1977.12,9.68
1978.01,9.24
1978.02,9.05
1978.03,8.95
1978.04,9.26
1978.05,9.63
1978.06,9.55
1978.07,9.43
1978.08,10.02
1978.09,9.94
1978.1,9.53
1978.11,8.93
1978.12,9.01
1979.01,9.26
1979.02,9.00
1979.03,9.07
1979.04,9.13
1979.05,8.79
1979.06,8.85
1979.07,8.83
1979.08,9.13
1979.09,9.11
1979.1,8.68
1979.11,8.52
1979.12,8.75
1980.01,8.85
1980.02,9.05
1980.03,8.08
1980.04,7.84
1980.05,8.10
1980.06,8.51
